"Numer";"Nazwa";"Adres";"Godziny działania";"Kontakt";"Zasięg"
1;"Okręgowa Komisja Wyborcza nr 1 we Wrocławiu";"Krajowe Biuro Wyborcze Delegatura we Wrocławiu, ul. Podwale 28, 50-040 Wrocław";"7 kwietnia 2025 r. – 14:00 -15:30, 22 kwietnia 2025 r. – 9:00 - 10:00, 13 maja 2025 r. – 14:30 - 15:30, 16 maja 2025 r. – 14:00 - 15:30, 17 maja 2025 r. 8:00 - 20:00, 18 maja 2025 r. 7:00 - do ustalenia wyników głosowania";"71 725 95 12";"powiaty: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski; miasto na prawach powiatu: Wrocław"
2;"Okręgowa Komisja Wyborcza nr 2 w Jeleniej Górze";"Krajowe Biuro Wyborcze Delegatura w Jeleniej Górze, , ul. Morcinka 33A, 58-500 Jelenia Góra";"poniedziałek godz. 14:00 - 15:00 , środa godz. 9:00 - 10:00, piątek godz. 9:00 - 10:00";"75 76 788 49, 75 76 788 69";"powiaty: bolesławiecki, jaworski, kamiennogórski, karkonoski, lubański, lwówecki, zgorzelecki, złotoryjski; miasto na prawach powiatu: Jelenia Góra"
3;"Okręgowa Komisja Wyborcza nr 3 w Legnicy";"Krajowe Biuro Wyborcze Delegatura w Legnicy, Pl. Słowiański 1, 59-220 Legnica";"wtorek: 13:00 - 14:00, czwartek: 13:00 - 14:00";"767213570";"powiaty: głogowski, legnicki, lubiński, polkowicki; miasto na prawach powiatu: Legnica"
4;"Okręgowa Komisja Wyborcza nr 4 w Wałbrzychu";"Krajowe Biuro Wyborcze Delegatura w Wałbrzychu, ul. Adama Pługa 12, 58-300 Wałbrzych";"od wtorku do czwartku w godzinach od 14:15 do 15:15. , Dnia 17 maja 2025 r. dyżur pełniony będzie w godzinach od 10:00 do 13:00., Dnia 18 maja 2025 r. dyżur pełniony będzie od godziny 7:00 do zakończenia prac komisji.";"74 642 12 26";"powiaty: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki; miasto na prawach powiatu: Wałbrzych"
5;"Okręgowa Komisja Wyborcza nr 5 w Bydgoszczy";"ul. Jagiellońska 3 (budynek A Kujawsko-Pomorskiego Urzędu Wojewódzkiego w Bydgoszczy, parter, pokój 27), Bydgoszcz 85-950";"7 kwietnia 2025 r. 		(poniedziałek)	w godz.	9:00 – 11:00,   8 kwietnia 2025 r. 	(wtorek)		w godz.	9:00 – 11:00, 14 kwietnia 2025 r. 	(poniedziałek)	w godz.	9:00 – 11:00, 15 kwietnia 2025 r. 	(wtorek)		w godz.	9:00 – 11:00, 22 kwietnia 2025 r. 	(wtorek)		w godz.	9:00 – 11:00, 28 kwietnia 2025 r. 	(poniedziałek)	w godz.	9:00 – 11:00, 29 kwietnia 2025 r. 	(wtorek)		w godz.	9:00 – 11:00,   5 maja 2025 r. 		(poniedziałek)	w godz.	9:00 – 11:00,   6 maja 2025 r. 		(wtorek)		w godz.	9:00 – 11:00, 12 maja 2025 r.		(poniedziałek)	w godz.	9:00 – 11:00, 13 maja 2025 r. 		(wtorek)		w godz.	9:00 – 11:00, 16 maja 2025 r.		(piątek)		w godz.	9:00 – 11:00, 17 maja 2025 r. 		(sobota)		w godz.	8:00 – 20:00, 18 maja 2025 r.		(niedziela)	w godz.	6:00 – 24:00, 19 maja 2025 r. 		(poniedziałek)	w godz.	0:00 – do czasu ustalenia wyników głosowania w okręgu";"523231829";"powiaty: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński; miasto na prawach powiatu: Bydgoszcz"
6;"Okręgowa Komisja Wyborcza nr 6 w Toruniu";"Budynek Urzędu Marszałkowskiego w Toruniu, Pl. Teatralny 2, pok. 157.";"Dyżury Okręgowej Komisji Wyborczej w Toruniu będą pełnione w okresie od 7 kwietnia 2025 r. do dnia 16 maja 2025 r. w piątki w godz. 09.30 -10.30, a w dniu 17 maja 2025 r. od godz. 10:00 do godz. 18:00. W dniu głosowania od godz. 7:00 do zakończenia prac wyborczych.";"tel. 56 621 83 02, 56 477 88 66";"powiaty: brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, toruński, wąbrzeski; miasta na prawach powiatu: Grudziądz, Toruń"
7;"Okręgowa Komisja Wyborcza nr 7 we Włocławku";"Delegatura Krajowego Biura Wyborczego we Włocławku, ul. Brzeska 6 (pokój nr 10), 87-800 Włocławek";"";"54 444 74 83";"powiaty: aleksandrowski, lipnowski, radziejowski, rypiński, włocławski; miasto na prawach powiatu: Włocławek"
8;"Okręgowa Komisja Wyborcza nr 8 w Lublinie";"ul. Spokojna 9B, 20-074 Lublin";"- 16 maja 2025 r. (piątek)  w godz. 14:00 – 15:30,, - 17 maja 2025 r. (sobota) w godz. 8:00 – 20:00,, - 18 maja 2025 r. (niedziela) w godz. 6:00 – do czasu ustalenia wyników głosowania w okręgu";"814732478";"powiaty: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki; miasto na prawach powiatu: Lublin"
9;"Okręgowa Komisja Wyborcza nr 9 w Białej Podlaskiej";"Delegatura KBW w Białej Podlaskiej, ul. Brzeska 41, 21-500 Biała Podlaska";"";"83 3131499";"powiaty: bialski, parczewski, radzyński; miasto na prawach powiatu: Biała Podlaska"
10;"Okręgowa Komisja Wyborcza nr 10 w Chełmie";"pl. Niepodległości 1, pok. 286, 22-100 Chełm";"";"82 565 15 00";"powiaty: chełmski, krasnostawski, włodawski; miasto na prawach powiatu: Chełm"
11;"Okręgowa Komisja Wyborcza nr 11 w Zamościu";"ul. Partyzantów 3, 22-400 Zamość";"";"84 538 15 65";"powiaty: biłgorajski, hrubieszowski, tomaszowski, zamojski; miasto na prawach powiatu: Zamość"
12;"Okręgowa Komisja Wyborcza nr 12 w Zielonej Górze";"ul. Podgórna 7, 65-057 Zielona Góra, pok. 2023 IIp.";"w przeddzień głosowania tj. w dniu 17 maja 2025 r. , od  godziny 8:00 do godziny 20:00 oraz w dniu głosowania tj. 18 maja 2025 r. od godziny 7:00 do zakończenia głosowania.";"683202448";"powiaty: krośnieński, nowosolski, świebodziński, wschowski, zielonogórski, żagański, żarski; miasto na prawach powiatu: Zielona Góra"
13;"Okręgowa Komisja Wyborcza nr 13 w Gorzowie Wielkopolskim";"Siedziba Okręgowej Komisji Wyborczej nr 13 mieści się w budynku Lubuskiego Urzędu Wojewódzkiego w Gorzowie Wielkopolskim, ul. Jagiellończyka 8, 66-400 Gorzów Wielkopolski, XII piętro, pokój 1207";"- środa w godz. od 9:00 do 11:00, - czwartek w godz. od 12:00 do 14:00";"(95) 7115 307, (95) 7115 597";"powiaty: gorzowski, międzyrzecki, słubicki, strzelecko–drezdenecki, sulęciński; miasto na prawach powiatu: Gorzów Wielkopolski"
14;"Okręgowa Komisja Wyborcza nr 14 w Łodzi";"ul. Piotrkowska 104, budynek „D”, II piętro, pok. 245B (siedziba Krajowego Biura Wyborczego Delegatury w Łodzi)";"- w dniu 25 kwietnia 2025 r. w godz. 14.00 – 15.30, - w dniu 9 maja 2025 r. w godz. 09.30 – 10.30, - w dniu 16 maja 2025 r. w godz. 09.30 – 10.30, - w dniu 17 maja 2025 r. w godz. 08.00 – 20.00, - w dniu 18 maja 2025 r. w godz. 07.00 – do zakończenia prac komisji, - w dniu 1 czerwca 2025 r. w godz. 08.00 – 20.00, - w dniu 2 czerwca 2025 r. w godz. 07.00 – do zakończenia prac komisji";"42 278 71 63";"powiaty: brzeziński, kutnowski, łaski, łęczycki, łowicki, łódzki wschodni, pabianicki, poddębicki, zgierski; miasto na prawach powiatu: Łódź"
15;"Okręgowa Komisja Wyborcza nr 15 w Piotrkowie Trybunalskim";"ul. Henryka Sienkiewicza 16a, 97-300 Piotrków Trybunalski";"w czwartki w godzinach 09.00 - 10.00";"44 788-22-73";"powiaty: bełchatowski, piotrkowski, radomszczański; miasto na prawach powiatu: Piotrków Trybunalski"
16;"Okręgowa Komisja Wyborcza nr 16 w Sieradzu";"Plac Wojewódzki 3, p.618-623, 98-200 Sieradz";"w poniedziałki w godzinach 14:00 – 16:00";"43 659 16 46";"powiaty: pajęczański, sieradzki, wieluński, wieruszowski, zduńskowolski"
17;"Okręgowa Komisja Wyborcza nr 17 w Skierniewicach";"ul. Konstytucji 3 Maja 6, pokój 233, 96-100 Skierniewice (siedziba Delegatury Krajowego Biura Wyborczego w Skierniewicach)";"we wtorki w godzinach 13.00 - 15.00, w czwartki w godzinach 14.00 - 16.00";"46 895 14 63, 46 833 23 68";"powiaty: opoczyński, rawski, skierniewicki, tomaszowski; miasto na prawach powiatu: Skierniewice"
18;"Okręgowa Komisja Wyborcza nr 18 w Krakowie";"Plac Na Stawach 3, 30-107 Kraków";"w każdy poniedziałek – 13:00-15:00, w każdy czwartek – 9:00-11:00";"12 357 81 00";"powiaty: chrzanowski, krakowski, miechowski, myślenicki, olkuski, oświęcimski, proszowicki, wadowicki, wielicki; miasto na prawach powiatu: Kraków"
19;"Okręgowa Komisja Wyborcza nr 19 w Nowym Sączu";"Krajowe Biuro Wyborcze Delegatura w Nowym Sączu, ul. Gorzkowska 30, 33-300 Nowy Sącz";"Okręgowa Komisja Wyborcza Nr 19 pełni dyżury w:, , każdy poniedziałek 14:00 - 16:00;  , sobota 17 maja 2025 r. - 08:00 - 20:00;";"18 542 83 55";"powiaty: gorlicki, limanowski, nowosądecki, nowotarski, suski, tatrzański; miasto na prawach powiatu: Nowy Sącz"
20;"Okręgowa Komisja Wyborcza nr 20 w Tarnowie";"Krajowe Biuro Wyborcze Delegatura w Tarnowie , Budynek Małopolskiego Urzędu Wojewódzkiego, Al. Solidarności 5-9, 33-100 Tarnów";"w poniedziałki w godz. od 9:00 do 11:00, w czwartki w godz. od 8:00 do 9:30, , 17 maja 25 r. (sobota) w godz. od 9:00 do 20:00, 18 maja (niedziela-poniedziałek) w godz. od 6:00 do zakończenia pracy wyborczych";"tel. 14 692 57 87";"powiaty: bocheński, brzeski, dąbrowski, tarnowski; miasto na prawach powiatu: Tarnów"
21;"Okręgowa Komisja Wyborcza nr 21 w Warszawie";"Mazowiecki Urząd Wojewódzki, Pl. Bankowy 3/5 pok. 228A (wejście C, II piętro), 00-950 Warszawa";"sobota 17.05.2025 r. godz. 9.00 - 17.00 , niedziela 18.05.2025 r. od godz. 6.00 do zakończenia czynności wyborczych";"22 243 08 00 wew. 5555";"powiaty: grodziski, legionowski, nowodworski, otwocki, piaseczyński, pruszkowski, warszawski zachodni, wołomiński; miasto na prawach powiatu: miasto stołeczne Warszawa"
22;"Okręgowa Komisja Wyborcza nr 22 w Ciechanowie";"ul. 17 Stycznia 7, 06-400 Ciechanów";"";"23 684 27 44";"powiaty: ciechanowski, mławski, płoński, przasnyski, żuromiński"
23;"Okręgowa Komisja Wyborcza nr 23 w Ostrołęce";"Krajowe Biuro Wyborcze Delegatura w Ostrołęce, ul. Gen. A. E. Fieldorfa ”Nila” 15, pokój 119 – II piętro";"";"29 6463101";"powiaty: makowski, ostrołęcki, ostrowski, pułtuski, wyszkowski; miasto na prawach powiatu: Ostrołęka"
24;"Okręgowa Komisja Wyborcza nr 24 w Płocku";"Okręgowa Komisja Wyborcza Nr 24 w Płocku,, ul. Kolegialna 15,  pok. 227 (II piętro),, 09-402 Płock";"18 kwietnia 2025 r. (piątek)           - w godz. 13.00 - 15.00, 25 kwietnia 2025 r. (piątek)           - w godz. 13.00 - 15.00, 09 maja 2025 r. (piątek)                 - w godz. 13.00 - 15.00, 16 maja 2025 r. (piątek)                 - w godz. 14.00 - 15.30, 17 maja 2025 r. (sobota)                - w godz.   8.00 - 20.00, 18 maja 2025 r. (niedziela)             - od godz. 6.30 do czasu ustalenia    ,                                                           wyników głosowania";"24/3645896; 24/3645897";"powiaty: gostyniński, płocki, sierpecki, sochaczewski, żyrardowski; miasto na prawach powiatu: Płock"
25;"Okręgowa Komisja Wyborcza nr 25 w Radomiu";"ul. Żeromskiego 53, 26-600 Radom";"Do 16 maja 2025 r. Komisja będzie pełnić dyżury telefoniczne pod numerem telefonu 48 36 20 955, W dniu 17 maja 2025 r. dyżur będzie pełniony w godzinach 12.00 – 18.00, W dniu 18 maja 2025 r. dyżur będzie pełniony od godziny 7.00 do zakończenia prac.";"48 36-20-955";"powiaty: białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński; miasto na prawach powiatu: Radom"
26;"Okręgowa Komisja Wyborcza nr 26 w Siedlcach";"ul. Józefa Piłsudskiego 38, 08-110 Siedlce";"w poniedziałki 10:00-12:00";"(25) 753-28-25";"powiaty: garwoliński, łosicki, miński, siedlecki, sokołowski, węgrowski; miasto na prawach powiatu: Siedlce"
27;"Okręgowa Komisja Wyborcza nr 27 w Opolu";"ul. Piastowska 14, 45–082 OPOLE  (gmach Opolskiego Urzędu Wojewódzkiego w Opolu)";"w poniedziałki w godz. od 14:30 do 15:30, w czwartki w godz. , od 14:30 do godz. 15:30 oraz po wcześniejszym umówieniu drogą telefoniczną lub mailową.";"77 454-37-21, 77 453-49-48";"powiaty: brzeski, głubczycki, kędzierzyńsko-kozielski, kluczborski, krapkowicki, namysłowski, nyski, oleski, opolski, prudnicki, strzelecki; miasto na prawach powiatu: Opole"
28;"Okręgowa Komisja Wyborcza nr 28 w Rzeszowie";"Budynek Podkarpackiego Urzędu Wojewódzkiego, ul. Grunwaldzka 15, 35-959 Rzeszów";"5, 9, 12 maja 2025 r. w godzinach 14:00 do 15:00, 17 maja 2025 r. w godzinach 8:00 do 20:00, 18 maja 2025 r. w godzinach 6:00 do 21:00";"17 867 14 18";"powiaty: dębicki, leżajski , łańcucki, ropczycko-sędziszowski, rzeszowski, strzyżowski; miasto na prawach powiatu: Rzeszów"
29;"Okręgowa Komisja Wyborcza nr 29 w Krośnie";"Budynek Starostwa Powiatowego w Krośnie, 38 - 400 Krosno, ul. Bieszczadzka 1,  pok. 418, tel.  nr (13) 493 47 66, adres email: krosno@kbw.gov.pl";"";"(13) 43-244-00, (13) 493 47 66";"powiaty: bieszczadzki, brzozowski, jasielski, krośnieński, leski, sanocki; miasto na prawach powiatu: Krosno"
30;"Okręgowa Komisja Wyborcza nr 30 w Przemyślu";"Plac Dominikański 3, 37-700 Przemyśl, (budynek Starostwa Powiatowego, II piętro, pokój nr 70)";"w swojej siedzibie w dniach:, poniedziałki i piątki, godz. 9.30 - 11.00 oraz, , - 17 maja 2025 r. - od godz. 8:00 – 20:00,, - 18 maja 2025 r. - od godz. 6:00 do ustalenia wyników głosowania";"16 732 38 89";"powiaty: jarosławski, lubaczowski, przemyski, przeworski; miasto na prawach powiatu: Przemyśl"
