Candidate,Mean_Votes,Median_Votes,Mode_Votes,Std_Dev_Votes,Variance_Votes,Min_Votes,Max_Votes,Count_Polling_Stations
BARTOSZEWICZ Artur,2.9601772712883823,2.0,0,3.027368397880077,9.164959416482983,0,33,31590
BIEJAT Magdalena Agnieszka,25.333333333333332,17.0,3,27.453714080077702,753.7064167906567,0,340,31590
BRAUN Grzegorz Micha,37.67622665400443,34.0,0,25.08543409326183,629.279003647383,0,211,31590
HOOWNIA Szymon Franciszek,30.4559670781893,23.0,7,27.166218486059158,738.0034268323022,0,236,31590
JAKUBIAK Marek,4.673472617917063,4.0,1,4.355927088035787,18.974100796283928,0,36,31590
MACIAK Maciej,1.1213358657803103,1.0,0,1.478966244117233,2.187341151238235,0,25,31590
MENTZEN Sawomir Jerzy,89.3551123773346,80.0,0,59.26538698787525,3512.3860948226134,0,582,31590
NAWROCKI Karol Tadeusz,180.762519784742,166.0,112,115.27914120002706,13289.280395815777,0,905,31590
SENYSZYN Joanna,6.59085153529598,4.0,1,7.333442405023287,53.77937750779373,0,109,31590
STANOWSKI Krzysztof Jakub,7.568724279835391,5.0,0,7.5669378779607745,57.25854884891751,0,78,31590
TRZASKOWSKI Rafa Kazimierz,189.0227287116176,123.0,24,186.79167829384446,34891.13107983108,0,1321,31590
WOCH Marek Marian,0.5726179170623615,0.0,0,1.0359169921540685,1.0731240146335324,0,66,31590
ZANDBERG Adrian Tadeusz,29.188255777144665,18.0,0,36.20337287996028,1310.6842078854434,0,774,31590
