URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych
1434145,26.95035460992908,282.0,76.0,72.0,318.0,0.0,4.0
1404451,54.72186287192755,773.0,423.0,418.0,330.0,2.0,3.0
1404528,48.03536345776032,1018.0,489.0,486.0,509.0,2.0,1.0
1434159,22.127659574468083,235.0,52.0,49.0,294.0,0.0,3.0
1404607,73.87862796833772,1516.0,1120.0,1105.0,359.0,3.0,12.0
1404634,50.15290519877675,981.0,492.0,490.0,465.0,1.0,1.0
1434162,50.0,36.0,18.0,18.0,18.0,0.0,0.0
1434163,13.6986301369863,73.0,10.0,8.0,68.0,0.0,2.0
1404696,59.950248756218905,1206.0,723.0,714.0,443.0,2.0,7.0
1404701,60.88193456614509,703.0,428.0,427.0,587.0,0.0,1.0
1434169,58.333333333333336,12.0,7.0,7.0,27.0,0.0,0.0
1404745,56.66936135812449,1237.0,701.0,691.0,491.0,1.0,9.0
1404750,53.14483554529718,1733.0,921.0,919.0,808.0,0.0,2.0
1404792,59.354838709677416,930.0,552.0,546.0,353.0,3.0,3.0
1404819,54.87551867219918,1928.0,1058.0,1049.0,889.0,2.0,6.0
1404821,50.67385444743935,1113.0,564.0,563.0,533.0,0.0,0.0
1434182,11.363636363636363,88.0,10.0,10.0,87.0,0.0,0.0
1434185,51.61290322580645,31.0,16.0,16.0,13.0,0.0,0.0
1404898,58.79194630872483,745.0,438.0,432.0,306.0,2.0,4.0
1404906,51.58576051779935,1545.0,797.0,796.0,713.0,0.0,1.0
1404926,56.95581014729952,1833.0,1044.0,1033.0,748.0,0.0,10.0
1404929,59.5168374816984,1366.0,813.0,805.0,530.0,2.0,6.0
1434191,15.789473684210526,57.0,9.0,9.0,71.0,0.0,0.0
1434195,100.0,21.0,21.0,21.0,14.0,0.0,0.0
1405010,56.66003976143141,503.0,285.0,280.0,207.0,2.0,3.0
1405057,65.87436332767402,1178.0,776.0,763.0,373.0,9.0,4.0
1434200,100.0,35.0,35.0,33.0,15.0,0.0,2.0
1405108,66.52211621856029,1153.0,767.0,767.0,853.0,0.0,0.0
1405110,62.22222222222222,1305.0,812.0,800.0,477.0,0.0,12.0
1434201,64.28571428571429,14.0,9.0,9.0,42.0,0.0,0.0
1434204,70.58823529411765,17.0,12.0,12.0,28.0,0.0,0.0
1405164,63.1578947368421,2166.0,1368.0,1363.0,753.0,1.0,4.0
1405168,61.04815864022663,2118.0,1293.0,1292.0,765.0,0.0,1.0
1405172,56.81435782389232,1783.0,1013.0,1013.0,721.0,0.0,0.0
1405173,62.86852589641434,2510.0,1578.0,1572.0,874.0,3.0,4.0
1405175,61.20114394661582,2098.0,1284.0,1282.0,747.0,0.0,1.0
1405213,72.10982658959537,1384.0,998.0,985.0,336.0,0.0,13.0
1405224,56.94444444444444,360.0,205.0,197.0,135.0,0.0,8.0
1405256,56.49122807017544,570.0,322.0,313.0,214.0,0.0,9.0
1405303,63.030303030303024,330.0,208.0,207.0,112.0,1.0,0.0
1405367,63.0151278038602,1917.0,1208.0,1208.0,699.0,0.0,0.0
1405371,54.14847161572053,458.0,248.0,247.0,199.0,1.0,0.0
1405498,60.54711246200608,1645.0,996.0,992.0,607.0,2.0,2.0
1405500,58.903265557609366,1623.0,956.0,944.0,612.0,0.0,12.0
1405517,73.5137747704205,2069.0,1521.0,1495.0,525.0,21.0,5.0
1434218,69.91525423728814,236.0,165.0,156.0,120.0,0.0,9.0
1434219,14.414414414414416,111.0,16.0,16.0,103.0,0.0,0.0
1405597,64.51292246520875,1006.0,649.0,646.0,328.0,2.0,1.0
1405629,74.22771403353927,1133.0,841.0,829.0,268.0,0.0,12.0
1434224,12.82051282051282,39.0,5.0,4.0,34.0,0.0,1.0
1436611,55.55555555555556,18.0,10.0,10.0,10.0,0.0,0.0
1405732,47.72577455504285,1517.0,724.0,718.0,782.0,0.0,4.0
1405800,67.2328086164043,2414.0,1623.0,1609.0,715.0,2.0,12.0
1434229,75.32894736842105,912.0,687.0,671.0,353.0,0.0,16.0
1434230,9.230769230769232,65.0,6.0,6.0,44.0,0.0,0.0
1434232,100.0,12.0,12.0,12.0,7.0,0.0,0.0
1405818,75.87780898876404,2848.0,2161.0,2148.0,404.0,2.0,11.0
1405820,81.23893805309734,1130.0,918.0,913.0,159.0,2.0,3.0
1405821,82.24053952791309,2669.0,2195.0,2188.0,213.0,0.0,7.0
1405826,78.95860008536066,2343.0,1850.0,1844.0,367.0,4.0,2.0
1405850,77.52365930599369,1268.0,983.0,977.0,185.0,3.0,2.0
1436608,100.0,14.0,14.0,14.0,15.0,0.0,0.0
1405857,84.41971383147853,1887.0,1593.0,1589.0,161.0,4.0,0.0
1405937,81.12745098039215,1632.0,1324.0,1315.0,121.0,0.0,9.0
1434237,40.0,10.0,4.0,4.0,16.0,0.0,0.0
1405996,47.940340909090914,1408.0,675.0,672.0,790.0,0.0,3.0
1434240,52.72727272727272,55.0,29.0,20.0,30.0,0.0,8.0
1434242,65.0,20.0,13.0,13.0,16.0,0.0,0.0
1434244,69.38775510204081,49.0,34.0,34.0,243.0,0.0,0.0
1406045,49.75369458128079,609.0,303.0,295.0,296.0,0.0,8.0
1434256,100.0,231.0,231.0,231.0,235.0,0.0,0.0
1406205,43.6837815810921,1227.0,536.0,532.0,688.0,0.0,4.0
1406206,48.10911345319281,1613.0,776.0,775.0,801.0,0.0,1.0
1406232,51.57740278796772,1363.0,703.0,693.0,618.0,0.0,10.0
1406247,63.69426751592356,1099.0,700.0,693.0,197.0,1.0,9.0
1406264,71.4862138533961,1487.0,1063.0,1053.0,341.0,2.0,8.0
1406266,76.07537894305612,2441.0,1857.0,1854.0,230.0,2.0,1.0
1406274,78.73220027560863,2177.0,1714.0,1704.0,295.0,3.0,7.0
1406284,72.3440712816998,2918.0,2111.0,2105.0,581.0,0.0,6.0
1406285,66.87773989283976,2053.0,1373.0,1363.0,413.0,3.0,5.0
1406299,66.42857142857143,1680.0,1116.0,1116.0,364.0,0.0,0.0
1406325,81.5478615071283,2455.0,2002.0,1995.0,103.0,0.0,6.0
1406332,73.42105263157895,1520.0,1116.0,1105.0,220.0,1.0,10.0
1406334,76.31113730111963,1697.0,1295.0,1295.0,254.0,0.0,0.0
1406346,75.4863813229572,1542.0,1164.0,1163.0,254.0,0.0,0.0
1406358,74.95473747736874,1657.0,1242.0,1234.0,319.0,3.0,5.0
