Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,URL_ID,Commission_Address_Raw,liczba_kart_otrzymanych,liczba_uprawnionych,liczba_kart_niewykorzystanych,liczba_kart_wydanych_lokal,liczba_pakietow_wyslanych,liczba_kart_wydanych_lacznie,liczba_glos_pelnnomocnik,liczba_glos_zaswiadczenie,liczba_kopert_zwrotnych,koperty_bez_oswiadczenia,koperty_oswiadczenie_niepodpisane,koperty_bez_koperty_na_karte,koperty_niezaklejona_koperta_na_karte,koperty_na_karte_wrzucone_do_urny,liczba_kart_wyjetych_z_urny,karty_z_kopert_korespondencyjnych,liczba_kart_niewaznych,liczba_kart_waznych,liczba_glosow_niewaznych,glosy_niewazne_przyczyna_A,glosy_niewazne_przyczyna_B,glosy_niewazne_przyczyna_C,liczba_glosow_waznych_na_kandydatow,Turnout_Percentage
Województwo zachodniopomorskie,Powiat swidwinski,gm. Poczyn-Zdroj,1436209,"Przyjazny Szpital w Poczynie-Zdroju, ul. Szpitalna 5, 78-320 Poczyn-Zdroj",51.0,21.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Województwo lubelskie,Powiat opolski,gm. Opole Lubelskie,1434425,"Swietlica szpitalna, ul. Szpitalna 9, 24-300 Opole Lubelskie",30.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Województwo pomorskie,Powiat nowodworski,gm. Nowy Dwor Gdanski,1435584,"Powiatowe Centrum Zdrowia Sp. z o. o. w Malborku Szpital w Nowym Dworze Gdanskim, ul. Dworcowa 12, 82-100 Nowy Dwor Gdanski",60.0,61.0,58.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.278688524590164
Województwo świętokrzyskie,Powiat skarzyski,m. Skarzysko-Kamienna,1435900,"Zespo Opieki Zdrowotnej-II budynek szpitalny, ul. Ekonomii 4, 26-110 Skarzysko-Kamienna",33.0,30.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.333333333333333
Województwo warmińsko-mazurskie,Powiat olsztynski,gm. Barczewo,1435967,"Zespo Zakadow Opieki Zdrowotnej im. Jerzego Pioro w Dobrym Miescie Centrum Swiadczen Zdrowotnych w Barczewie, ul. Niepodlegosci 9, 11-010 Barczewo",76.0,45.0,74.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.444444444444445
Województwo warmińsko-mazurskie,Miasto na prawach powiatu Elblag,,1435994,"Szpital Miejski sw. Jana Pawa II, ul. Jana Amosa Komenskiego 35, 82-300 Elblag, budynek przy ul. Zwiazku Jaszczurczego 22, ul. Zwiazku Jaszczurczego 22, 82-300 Elblag",25.0,20.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
Województwo lubuskie,Powiat zaganski,gm. Szprotawa,1434511,"Nowy Szpital w Szprotawie Sp. z o. o., ul. Henrykowska 1, 67-300 Szprotawa",70.0,79.0,66.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.063291139240507
Województwo zachodniopomorskie,Powiat mysliborski,gm. Debno,1436195,"Szpital w Debnie im. Swietej Matki Teresy z Kalkuty Sp. z o. o., ul. Tadeusza Kosciuszki 58, 74-400 Debno",112.0,74.0,108.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.405405405405405
Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,1436115,"NZOZ SALUS Sp. z o. o. Zakad Pielegnacyjno-Opiekunczy, ul. Zagorzynek 34, 62-800 Kalisz",105.0,91.0,100.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.494505494505495
Województwo pomorskie,Powiat kwidzynski,gm. Prabuty,1435576,"Zakad Opieki Leczniczej w Prabutach, ul. Kuracyjna 37, 82-550 Prabuty",50.0,53.0,47.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5.660377358490567
Województwo śląskie,Miasto na prawach powiatu Sosnowiec,,1435828,"Sosnowiecki Szpital Miejski Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec",78.0,64.0,74.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6.25
Województwo pomorskie,Powiat pucki,m. Puck,1435588,"Szpital Pucki Sp. z o. o., ul. 1-go Maja 13A, 84-100 Puck",46.0,41.0,43.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.317073170731707
Województwo podlaskie,Powiat wysokomazowiecki,gm. Sokoy,1435528,"Niepubliczny Zakad Opieki Zdrowotnej MD CARE Sp. z o. o., Dworaki-Staski 46, 18-218 Sokoy",143.0,109.0,135.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,7.339449541284404
Województwo świętokrzyskie,Powiat pinczowski,gm. Pinczow,1435894,"Szpital Powiatowy w Pinczowie, ul. Armii Krajowej 22, 28-400 Pinczow",191.0,158.0,179.0,12.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,7.59493670886076
Województwo śląskie,Miasto na prawach powiatu Sosnowiec,,1435830,"Centrum Profilaktyki Leczenia i Opieki MEDICO NZOZ Sp. z o. o., ul. Szpitalna 1, 41-219 Sosnowiec",80.0,71.0,74.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,8.450704225352112
Województwo opolskie,Powiat oleski,gm. Praszka,1435373,"Dom Opieki Desiderata, ul. Powstancow Slaskich 29, 46-320 Praszka",49.0,47.0,45.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,8.51063829787234
Województwo warmińsko-mazurskie,Powiat ecki,m. Ek,1435939,"1 Wojskowy Szpital Kliniczny z Poliklinika SPZOZ w Lublinie Filia w Eku, ul. Tadeusza Kosciuszki 30, 19-300 Ek",110.0,92.0,102.0,8.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.695652173913043
Województwo łódzkie,Powiat wieruszowski,gm. Wieruszow,1434597,"Powiatowe Centrum Medyczne Sp. z o. o. NZOZ Szpital Powiatowy w Wieruszowie, ul. Warszawska 104, 98-400 Wieruszow",50.0,57.0,45.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,8.771929824561402
Województwo lubelskie,Powiat puawski,gm. Baranow,1434430,"Dom Seniora ""A w sercu maj"", Wola Czonowska 64, 24-105 Baranow",38.0,34.0,35.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,8.823529411764707
Województwo opolskie,Powiat nyski,gm. Guchoazy,1435364,"Zakad Opiekunczo-Leczniczy Samodzielny Publiczny Zakad Opieki Zdrowotnej w Guchoazach, ul. Parkowa 9, 48-340 Guchoazy",79.0,68.0,73.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,8.823529411764707
Województwo wielkopolskie,Powiat gostynski,gm. Piaski,1436025,"Dom Seniora Bronek filia w Szelejewie Drugim, Szelejewo Drugie 10A, 63-820 Piaski",76.0,68.0,70.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,8.823529411764707
Województwo łódzkie,Powiat pabianicki,gm. Lutomiersk,1434561,"Dom Pomocy Spoecznej ""Nad Strumykiem"" w Legendzinie, Legendzin 2, 95-083 Lutomiersk",20.0,33.0,17.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,9.090909090909092
Województwo podkarpackie,Miasto na prawach powiatu Rzeszow,,1435490,"Szpital Specjalistyczny PRO-FAMILIA Tomasz ozinski spoka komandytowa, ul. Witolda 6b, 35-302 Rzeszow",90.0,153.0,76.0,14.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,9.15032679738562
Województwo dolnośląskie,Powiat woowski,gm. Woow,1434230,"Powiatowe Centrum Medyczne w Woowie Sp. z o. o., ul. Inwalidow Wojennych 26, 56-100 Woow",50.0,65.0,44.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,9.230769230769232
