URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow,liczba_kart_niewykorzystanych,liczba_kart_niewaznych,liczba_glosow_niewaznych,Sklearn_AE_Reconstruction_Error
1467459,19.17808219178082,73.0,14.0,13.0,65.0,0.0,1.0,1.1226391820671282
1467460,25.925925925925924,54.0,14.0,13.0,40.0,0.0,1.0,0.9002572907807173
1467499,27.500000000000004,40.0,11.0,11.0,39.0,0.0,0.0,0.7914593232269508
1467584,68.33611574846967,1797.0,1228.0,1226.0,594.0,0.0,2.0,0.4798077143282532
1467627,63.601532567049816,1566.0,996.0,992.0,625.0,1.0,3.0,0.32128089013794675
1467632,71.32867132867133,1716.0,1224.0,1221.0,600.0,0.0,3.0,0.45507948112563085
1467674,32.95454545454545,88.0,29.0,27.0,68.0,0.0,2.0,0.6072998906703556
1467688,18.91891891891892,74.0,14.0,13.0,62.0,0.0,1.0,1.1457794058666517
1467707,40.0,50.0,20.0,19.0,44.0,0.0,1.0,0.39394069854081326
1467712,70.45769764216367,721.0,508.0,505.0,471.0,0.0,3.0,0.3078300784408169
1467721,93.75,48.0,45.0,45.0,53.0,0.0,0.0,0.38448171670647513
1467735,36.36363636363637,44.0,16.0,16.0,23.0,0.0,0.0,0.5156809079679139
1467736,32.075471698113205,53.0,17.0,15.0,40.0,0.0,2.0,0.7063292660813415
1467762,37.03703703703704,54.0,20.0,20.0,40.0,0.0,0.0,0.4565854294879649
1467772,59.68617984308992,1657.0,989.0,986.0,738.0,0.0,3.0,0.3767892765454622
1467777,92.85714285714286,14.0,13.0,12.0,51.0,0.0,1.0,0.3556005899567752
1467831,82.05574912891987,574.0,471.0,457.0,102.0,0.0,14.0,0.3613479777786157
1467840,89.60396039603961,202.0,181.0,181.0,94.0,0.0,0.0,0.29560470806659866
1467846,58.08823529411765,1088.0,632.0,616.0,472.0,0.0,16.0,0.4817550002157484
1467854,19.101123595505616,89.0,17.0,17.0,73.0,0.0,0.0,1.050956496298283
1467855,25.274725274725277,91.0,23.0,23.0,74.0,0.0,0.0,0.7853721587310868
1467858,74.15086016762241,2267.0,1681.0,1664.0,226.0,0.0,16.0,0.36208859725370834
1467859,32.55813953488372,43.0,14.0,14.0,38.0,0.0,0.0,0.6050969529440839
1467935,45.20547945205479,73.0,33.0,29.0,38.0,0.0,4.0,0.4056831603970668
1467965,68.76247504990019,2004.0,1378.0,1373.0,629.0,0.0,5.0,0.3424056011357687
1467966,14.285714285714285,56.0,8.0,8.0,72.0,0.0,0.0,1.280984729587875
1468020,34.5679012345679,81.0,28.0,26.0,53.0,0.0,2.0,0.5887158069331734
1468041,100.0,14.0,14.0,13.0,21.0,0.0,1.0,0.49510954882001695
1468079,60.85657370517929,1004.0,611.0,588.0,371.0,1.0,22.0,1.1755642457336017
1468095,76.68957617411226,1746.0,1339.0,1335.0,748.0,0.0,4.0,0.8232218642761884
1468119,34.090909090909086,44.0,15.0,15.0,36.0,0.0,0.0,0.5579760524775471
1468121,100.0,33.0,33.0,31.0,17.0,0.0,2.0,0.45677040019673293
1468175,100.0,18.0,18.0,18.0,89.0,0.0,0.0,0.6982022933735295
1468220,65.47788873038516,2103.0,1377.0,1374.0,680.0,0.0,3.0,0.51085697719945
1468312,60.31468531468531,572.0,345.0,334.0,196.0,0.0,11.0,0.3264766269706678
1468352,43.13725490196079,102.0,44.0,41.0,60.0,0.0,3.0,0.36926470465026534
1468374,72.42424242424242,1980.0,1434.0,1429.0,517.0,0.0,5.0,0.33316910969167546
1468487,30.0,100.0,30.0,29.0,113.0,0.0,1.0,0.5512596673308751
1468517,84.67741935483872,2232.0,1890.0,1881.0,121.0,0.0,9.0,0.6848742605948228
1468523,76.95749440715883,1341.0,1032.0,1014.0,152.0,0.0,18.0,0.36892575818150997
1468568,73.12156383628589,1637.0,1197.0,1176.0,473.0,0.0,21.0,0.3985961193106692
1468596,14.814814814814811,108.0,16.0,16.0,104.0,0.0,0.0,1.1443292737770645
1468713,32.18390804597701,87.0,28.0,28.0,59.0,0.0,0.0,0.5733559337287506
1468714,34.21052631578947,76.0,26.0,26.0,50.0,0.0,0.0,0.5264422187468121
1468716,20.0,40.0,8.0,8.0,33.0,0.0,0.0,1.1433014288056758
1468717,20.588235294117645,34.0,7.0,7.0,37.0,0.0,0.0,1.099257559798949
