URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow
1467459,19.17808219178082,73.0,14.0,13.0
1467460,25.925925925925924,54.0,14.0,13.0
1467499,27.500000000000004,40.0,11.0,11.0
1467569,72.4006762468301,2366.0,1713.0,1701.0
1467688,18.91891891891892,74.0,14.0,13.0
1467736,32.075471698113205,53.0,17.0,15.0
1467777,92.85714285714286,14.0,13.0,12.0
1467854,19.101123595505616,89.0,17.0,17.0
1467855,25.274725274725277,91.0,23.0,23.0
1467859,32.55813953488372,43.0,14.0,14.0
1467966,14.285714285714285,56.0,8.0,8.0
1468041,100.0,14.0,14.0,13.0
1468119,34.090909090909086,44.0,15.0,15.0
1468121,100.0,33.0,33.0,31.0
1468175,100.0,18.0,18.0,18.0
1468201,87.5,8.0,7.0,7.0
1468226,69.67509025270758,2493.0,1737.0,1725.0
1468347,79.54545454545455,2464.0,1960.0,1942.0
1468371,75.38523925385239,2466.0,1859.0,1841.0
1468423,74.7766043866775,2462.0,1841.0,1822.0
1468517,84.67741935483872,2232.0,1890.0,1881.0
1468596,14.814814814814811,108.0,16.0,16.0
1468716,20.0,40.0,8.0,8.0
1468717,20.588235294117645,34.0,7.0,7.0
1468842,23.893805309734518,113.0,27.0,27.0
1468876,70.29288702928869,2390.0,1680.0,1656.0
1468892,13.23529411764706,68.0,9.0,8.0
1468894,100.0,12.0,12.0,12.0
1468895,95.23809523809524,21.0,20.0,20.0
1468897,81.43582306018854,2758.0,2246.0,2223.0
1468899,80.58419243986255,2910.0,2345.0,2320.0
1468902,87.09677419354838,2790.0,2430.0,2415.0
1468908,83.50774382586856,2389.0,1995.0,1972.0
1468914,84.32574430823118,2284.0,1926.0,1898.0
1468916,85.4885654885655,2405.0,2056.0,2036.0
1468934,100.0,16.0,16.0,16.0
1468989,72.818063395571,2303.0,1677.0,1658.0
1469078,90.0,10.0,9.0,9.0
1469162,31.428571428571427,35.0,11.0,11.0
1469297,29.33333333333333,75.0,22.0,22.0
1469304,26.53061224489796,49.0,13.0,13.0
1469363,82.20541401273886,2512.0,2065.0,2046.0
1469378,80.27397260273973,2555.0,2051.0,2025.0
1469387,87.58169934640523,2295.0,2010.0,1996.0
1469396,76.96094519199212,3047.0,2345.0,2315.0
1469406,89.62900505902192,2372.0,2126.0,2094.0
1469437,82.57825370675454,2428.0,2005.0,1980.0
1469462,81.1576354679803,2436.0,1977.0,1956.0
1469484,84.76549127011297,2921.0,2476.0,2450.0
1469496,83.82084095063985,2188.0,1834.0,1818.0
1469499,79.41176470588235,2482.0,1971.0,1943.0
1469504,82.26086956521739,2300.0,1892.0,1865.0
1469513,86.93312836279785,2602.0,2262.0,2233.0
1469515,86.15384615384616,2210.0,1904.0,1869.0
1469518,86.50042992261393,2326.0,2012.0,1989.0
1469520,82.90488431876607,2334.0,1935.0,1908.0
1469549,75.59548683660677,2393.0,1809.0,1786.0
1469560,82.0377358490566,2650.0,2174.0,2153.0
1469570,84.13793103448276,2175.0,1830.0,1811.0
1469598,84.32904411764706,2176.0,1835.0,1818.0
1469599,81.82620202911338,2267.0,1855.0,1840.0
1469628,78.65168539325843,2492.0,1960.0,1931.0
1469638,87.10204081632654,2450.0,2134.0,2120.0
1469639,80.1610852055956,2359.0,1891.0,1864.0
1469641,87.99328295549958,2382.0,2096.0,2061.0
1469643,87.07158351409979,2305.0,2007.0,1975.0
1469645,88.34379905808477,2548.0,2251.0,2221.0
1469681,100.0,77.0,77.0,77.0
1469748,96.42857142857144,28.0,27.0,27.0
1469843,29.72972972972973,74.0,22.0,22.0
1469989,35.714285714285715,28.0,10.0,9.0
1470075,23.893805309734518,113.0,27.0,27.0
1470144,35.8974358974359,39.0,14.0,12.0
1470462,19.565217391304348,46.0,9.0,8.0
1470525,23.91304347826087,46.0,11.0,11.0
1470731,100.0,18.0,18.0,16.0
1470869,21.176470588235293,85.0,18.0,13.0
1470911,77.24451799751758,2417.0,1867.0,1848.0
1470997,25.742574257425744,101.0,26.0,25.0
1471009,21.311475409836063,61.0,13.0,13.0
1471071,32.55813953488372,43.0,14.0,9.0
1471245,80.13468013468014,2376.0,1904.0,1883.0
1471260,80.87508821453775,2834.0,2292.0,2276.0
1471293,75.86062132661628,2382.0,1807.0,1798.0
1471318,80.0462249614792,2596.0,2078.0,2064.0
1471360,78.1303602058319,2332.0,1822.0,1800.0
1471438,6.896551724137931,29.0,2.0,2.0
1471611,86.28595248020008,2399.0,2070.0,2051.0
1471615,94.44444444444444,18.0,17.0,17.0
1471617,20.28985507246377,69.0,14.0,14.0
1471818,28.35820895522388,67.0,19.0,18.0
1472484,28.205128205128204,78.0,22.0,21.0
1472522,83.50785340314137,2674.0,2233.0,2210.0
1472541,81.43365983971505,2246.0,1829.0,1809.0
1472549,78.34839769926047,2434.0,1907.0,1881.0
1472572,82.2943722943723,2310.0,1901.0,1877.0
1472588,96.96969696969695,33.0,32.0,32.0
1472603,81.91153238546603,2532.0,2074.0,2054.0
1472861,0.0,34.0,0.0,0.0
1472939,80.2707136997539,2438.0,1957.0,1927.0
1472961,14.285714285714285,35.0,5.0,5.0
1473010,93.75,32.0,30.0,29.0
1473180,37.5,24.0,9.0,9.0
1473423,32.608695652173914,46.0,15.0,15.0
1473565,34.090909090909086,44.0,15.0,14.0
1473588,71.23287671232876,2482.0,1768.0,1756.0
1473589,72.49378624689312,2414.0,1750.0,1740.0
1473592,72.13757074444929,2297.0,1657.0,1644.0
1473600,73.78390012914335,2323.0,1714.0,1701.0
1473807,77.78698715292167,2413.0,1877.0,1863.0
1473840,8.823529411764707,34.0,3.0,3.0
1473843,90.0,20.0,18.0,18.0
1474083,14.634146341463412,82.0,12.0,12.0
1474349,19.672131147540984,61.0,12.0,12.0
1474500,12.195121951219512,82.0,10.0,10.0
1474539,100.0,52.0,52.0,52.0
1474540,100.0,44.0,44.0,42.0
1474569,19.51219512195122,41.0,8.0,7.0
