URL_ID,R2_URL_ID,Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,Commission_Address_Raw,anomaly_score_NAWROCKI,R2_VOTES_NAWROCKI Karol Tadeusz,R2_VOTES_TRZASKOWSKI Rafa Kazimierz,R2_liczba_glosow_waznych_na_kandydatow,theoretical_R2_VOTES_NAWROCKI,theoretical_R2_VOTES_TRZASKOWSKI,R1_VOTES_NAWROCKI Karol Tadeusz,R1_VOTES_TRZASKOWSKI Rafa Kazimierz,votes_pool_eliminated
1415375,1479006,Województwo małopolskie,Miasto na prawach powiatu Krakow,,"Zespo Szkolno-Przedszkolny Nr 14, ul. Stawowa 179, 31-346 Krakow",688.0278023283333,1132.0,540.0,1672.0,444.0,1125.0,218.0,550.0,801.0
1414158,1477753,Województwo małopolskie,Powiat nowosadecki,gm. Chemiec,"Szkoa Podstawowa, Trzetrzewina 193, 33-395 Chemiec",653.7772091466526,931.0,84.0,1015.0,277.0,32.0,166.0,20.0,123.0
1429173,1494254,Województwo warmińsko-mazurskie,Powiat gizycki,m. Gizycko,"Urzad Miejski (sala konferencyjna), ul. Aleja 1 Maja 14, 11-500 Gizycko",-643.555889605183,10.0,8.0,18.0,654.0,754.0,302.0,635.0,471.0
1414178,1477737,Województwo małopolskie,Powiat nowosadecki,gm. Chemiec,"Szkoa Podstawowa, Trzetrzewina 193, 33-395 Chemiec",-580.6762156540324,337.0,40.0,377.0,918.0,47.0,546.0,46.0,373.0
1421717,1486247,Województwo podkarpackie,Powiat przeworski,gm. Przeworsk,"Szkoa Podstawowa w Urzejowicach, Urzejowice 542, 37-200 Przeworsk",-577.0940857833447,178.0,35.0,213.0,755.0,150.0,438.0,77.0,390.0
1434854,1480253,Województwo mazowieckie,Powiat minski,m. Minsk Mazowiecki,"SP ZOZ w Minsku Mazowieckim, ul. Szpitalna 37, 05-300 Minsk Mazowiecki",561.1641598223368,588.0,580.0,1168.0,27.0,5.0,19.0,2.0,11.0
1416525,1480268,Województwo mazowieckie,Powiat minski,m. Minsk Mazowiecki,"Przedszkole Miejskie z Oddziaem Specjalnym i Oddziaem Integracyjnym Nr 4 im. Urszuli Smoczynskiej w Minsku Mazowieckim, ul. Juliana Tuwima 2, 05-300 Minsk Mazowiecki",-544.6463106116325,18.0,8.0,26.0,563.0,568.0,316.0,362.0,453.0
1420752,1485253,Województwo podkarpackie,Powiat debicki,gm. Pilzno,"Publiczna Szkoa Podstawowa w Pilznie, ul. Adama Mickiewicza 1, 39-220 Pilzno",-533.1192079060368,500.0,94.0,594.0,1033.0,337.0,611.0,229.0,530.0
1434829,1479741,Województwo mazowieckie,Powiat garwolinski,gm. Zelechow,"Dom Opieki Lesna Roza, Wola Zelechowska 105A, 08-430 Zelechow",525.3340199920335,533.0,131.0,664.0,8.0,10.0,5.0,9.0,4.0
1432495,1497734,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Szkoa Podstawowa Nr 8 im. Bohaterow Westerplatte, ul. Serbinowska 22A, 62-800 Kalisz",521.0080625715642,730.0,1029.0,1759.0,209.0,336.0,116.0,250.0,179.0
1424742,1489505,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 40, Gdansk ul. Stroma 19, 80-012 Gdansk 9",508.42812238154727,702.0,1385.0,2087.0,194.0,283.0,84.0,196.0,197.0
1413838,1477383,Województwo małopolskie,Powiat krakowski,gm. Zabierzow,"Szkoa Podstawowa w Rzasce, Rzaska ul. Krakowska 122, 30-199 Krakow",-501.3068733370724,290.0,267.0,557.0,791.0,867.0,445.0,645.0,568.0
1430041,1495262,Województwo warmińsko-mazurskie,Miasto na prawach powiatu Olsztyn,,"Uniwersytet Warminsko-Mazurski w Olsztynie Studium Jezykow Obcych, al. Aleja Obroncow Tobruku 3, 10-718 Olsztyn",-491.9221922620277,32.0,29.0,61.0,524.0,677.0,240.0,464.0,497.0
1431776,1496992,Województwo wielkopolskie,Powiat poznanski,gm. Pobiedziska,"Swietlica wiejska w Wagowie, Wagowo 16b, 62-010 Pobiedziska",476.2633641738819,561.0,847.0,1408.0,85.0,111.0,50.0,90.0,56.0
1410803,1474157,Województwo lubuskie,Powiat nowosolski,gm. Siedlisko,"Sala Wiejska, pl. Plac sw. Floriana 16, 67-112 Siedlisko",-474.01417572849743,66.0,57.0,123.0,540.0,353.0,285.0,276.0,332.0
1416350,1480075,Województwo mazowieckie,Powiat legionowski,gm. Nieporet,"Osrodek Kultury w Katach Wegierskich, Katy Wegierskie ul. Koscielna 22, 05-126 Nieporet",-468.4927060481241,101.0,44.0,145.0,569.0,534.0,257.0,359.0,487.0
1424751,1489533,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoy Ekonomiczno-Handlowe, Gdansk ul. Mariana Seredynskiego 1A, 80-753 Gdansk 50",-462.9516579652229,236.0,505.0,741.0,699.0,1416.0,340.0,928.0,847.0
1419112,1482995,Województwo mazowieckie,Warszawa,Ochota,"Szkoa Podstawowa z Oddziaami Integracyjnymi nr 61, ul. Biaobrzeska 27, 02-340 Warszawa",-462.4356176343456,65.0,90.0,155.0,527.0,1034.0,274.0,638.0,649.0
1424877,1489562,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 77, Gdansk ul. Orowska 13, 80-347 Gdansk 5",-452.29526631719,375.0,808.0,1183.0,827.0,1438.0,456.0,999.0,810.0
1415959,1479662,Województwo mazowieckie,Powiat garwolinski,gm. Gorzno,"Publiczna Szkoa Podstawowa w Gorznie, ul. Duga 6, 08-404 Gorzno",-448.71259332720774,31.0,17.0,48.0,480.0,77.0,294.0,49.0,214.0
1424796,1489568,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 43, Gdansk ul. Ludwika Beethovena 20, 80-171 Gdansk 48",-443.5493745682536,307.0,668.0,975.0,751.0,1257.0,403.0,886.0,719.0
1420890,1485390,Województwo podkarpackie,Powiat jarosawski,gm. Wiazownica,"Dom Kultury w Zapaowie, Zapaow 134, 37-544 Zapaow",436.465647563356,1028.0,198.0,1226.0,592.0,73.0,334.0,52.0,279.0
1434671,1476948,Województwo małopolskie,Powiat chrzanowski,gm. Chrzanow,"Szpital Powiatowy w Chrzanowie, ul. Topolowa 16, 32-500 Chrzanow",434.8393173967887,500.0,443.0,943.0,65.0,65.0,41.0,57.0,32.0
1413407,1476953,Województwo małopolskie,Powiat chrzanowski,gm. Chrzanow,"Przedszkole Nr 10 w Chrzanowie, ul. Generaa Wadysawa Sikorskiego 6, 32-500 Chrzanow",-433.406144032891,12.0,14.0,26.0,445.0,539.0,234.0,396.0,354.0
1432494,1497781,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Niepubliczne Przedszkole im. Marii Konopnickiej, ul. Ostrowska 62, 62-800 Kalisz",-432.7206159700247,10.0,43.0,53.0,443.0,668.0,271.0,551.0,289.0
1416048,1479744,Województwo mazowieckie,Powiat garwolinski,gm. Zelechow,"Szkoa Podstawowa w Starym Kebowie, Stary Kebow 23, 08-430 Zelechow",431.3202190866217,705.0,74.0,779.0,274.0,46.0,165.0,26.0,129.0
1413831,1477373,Województwo małopolskie,Powiat krakowski,gm. Zabierzow,"Swietlica Wiejska w Burowie, Burow 115, 32-083 Balice",425.8901955690212,576.0,562.0,1138.0,150.0,150.0,86.0,103.0,111.0
1406529,1469641,Województwo dolnośląskie,Miasto na prawach powiatu Wrocaw,,"Centrum GRAFIT, ul. Namysowska 8, 50-304 Wrocaw",424.61230774441634,432.0,1629.0,2061.0,7.0,1805.0,107.0,458.0,1247.0
1436116,1497774,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Oddzia Zewnetrzny w Kaliszu Aresztu Sledczego w Ostrowie Wielkopolskim, ul. Wrocawska 193 - 195 (wejscie od ul. 29 Puku Piechoty), 62-800 Kalisz",423.4054142017762,463.0,446.0,909.0,40.0,13.0,4.0,16.0,33.0
1432634,1497899,Województwo wielkopolskie,Miasto na prawach powiatu Poznan,,"Szkoa Podstawowa Specjalna nr 106, ul. Klemensa Janickiego 22, 60-542 Poznan",420.4556229447745,545.0,2600.0,3145.0,125.0,2717.0,181.0,1031.0,1630.0
1434197,1468107,Województwo dolnośląskie,Powiat lubinski,m. Lubin,"Miedziowe Centrum Zdrowia S. A. budynek szpitala D - 40, ul. Marii Skodowskiej-Curie 54, 59-300 Lubin",416.82109761045695,446.0,361.0,807.0,29.0,32.0,19.0,26.0,16.0
1420885,1485395,Województwo podkarpackie,Powiat jarosawski,gm. Wiazownica,"Remiza Ochotniczej Strazy Pozarnej w Wiazownicy, ul. Warszawska 17B, 37-522 Wiazownica",-416.1263131229332,616.0,109.0,725.0,1032.0,129.0,640.0,97.0,424.0
1420761,1485252,Województwo podkarpackie,Powiat debicki,gm. Pilzno,"Publiczna Szkoa Podstawowa w ekach Gornych, eki Gorne 205, 39-221 eki Gorne",-414.3521973859504,243.0,25.0,268.0,657.0,106.0,418.0,58.0,287.0
1407047,1470215,Województwo kujawsko-pomorskie,Powiat inowrocawski,m. Inowrocaw,"Warsztat Terapii Zajeciowej ""Razem"" przy Stowarzyszeniu Pomocy Uposledzonym Umysowo, ul. Emilii Plater 3, 88-100 Inowrocaw",-410.7822219892477,27.0,26.0,53.0,438.0,622.0,233.0,482.0,345.0
1413232,1476754,Województwo małopolskie,Powiat bochenski,m. Bochnia,"Szkoa Podstawowa nr 5 im. Jana Matejki w Bochni, ul. Kazimierza Wielkiego 71, 32-700 Bochnia",-410.09612186194454,447.0,355.0,802.0,857.0,562.0,475.0,365.0,579.0
1432484,1497751,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Szkoa Podstawowa Nr 7 im. Adama Mickiewicza, ul. Robotnicza 5, 62-800 Kalisz",-410.02059176502803,199.0,364.0,563.0,609.0,975.0,296.0,753.0,535.0
1432503,1497742,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Szkoa Podstawowa Nr 10 im. Marii Konopnickiej, ul. Karpacka 3, 62-800 Kalisz",-408.0022428417253,297.0,429.0,726.0,705.0,843.0,377.0,666.0,505.0
1408055,1471271,Województwo kujawsko-pomorskie,Miasto na prawach powiatu Bydgoszcz,,"VII Liceum Ogolnoksztacace, ul. 11 Listopada 4, 85-643 Bydgoszcz",-403.9054124754425,248.0,433.0,681.0,652.0,1453.0,244.0,929.0,932.0
1416047,1479749,Województwo mazowieckie,Powiat garwolinski,gm. Zelechow,"Szkoa Podstawowa w Stefanowie, Stefanow 108, 08-430 Zelechow",-401.55714745869227,269.0,52.0,321.0,671.0,50.0,403.0,30.0,288.0
1421716,1486254,Województwo podkarpackie,Powiat przeworski,gm. Przeworsk,"Szkoa Podstawowa w Ujeznej, Ujezna 227, 37-200 Przeworsk",400.32229357536846,766.0,189.0,955.0,366.0,36.0,247.0,26.0,129.0
1424865,1489616,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Wojewodzka i Miejska Biblioteka Publiczna Biblioteka przy Rynku, Gdansk ul. Czerwony Dwor 21, 80-376 Gdansk 53",-394.4776020727287,55.0,85.0,140.0,449.0,1050.0,228.0,716.0,555.0
1416538,1480267,Województwo mazowieckie,Powiat minski,m. Minsk Mazowiecki,"Szkoa Podstawowa Nr 4 im. Powstancow Styczniowych w Minsku Mazowieckim, ul. Siennicka 17, 05-300 Minsk Mazowiecki",393.2698142598872,866.0,791.0,1657.0,473.0,526.0,255.0,349.0,395.0
1424874,1489582,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 83, Gdansk ul. Stokosy 1, 80-298 Gdansk 16",-388.74823454995044,552.0,1689.0,2241.0,941.0,1239.0,454.0,854.0,872.0
1416044,1479746,Województwo mazowieckie,Powiat garwolinski,gm. Zelechow,"Miejsko-Gminny Osrodek Kultury w Zelechowie, ul. Traugutta 5, 08-430 Zelechow",-387.94881892992976,155.0,24.0,179.0,543.0,114.0,310.0,93.0,254.0
1413827,1477387,Województwo małopolskie,Powiat krakowski,gm. Zabierzow,"Szkoa Podstawowa w Zelkowie, Zelkow ul. Jana Pawa II 22, 32-082 Bolechowice",385.7996003396721,718.0,980.0,1698.0,332.0,290.0,195.0,195.0,232.0
1434199,1468074,Województwo dolnośląskie,Powiat lubinski,m. Lubin,"Regionalne Centrum Zdrowia Spoka z o. o., ul. Gen. Jozefa Bema 5-6, 59-300 Lubin",378.60770009130425,422.0,286.0,708.0,43.0,17.0,37.0,14.0,9.0
1432707,1497972,Województwo wielkopolskie,Miasto na prawach powiatu Poznan,,"Politechnika Poznanska, ul. Jana Pawa II 28, 61-131 Poznan",378.580108056122,837.0,3126.0,3963.0,458.0,3102.0,235.0,1256.0,2069.0
1413824,1477374,Województwo małopolskie,Powiat krakowski,gm. Zabierzow,"Swietlica Wiejska w Brzeziu, ul. Kluczwody 38, 32-080 Brzezie",-375.6758527490317,264.0,186.0,450.0,640.0,496.0,348.0,349.0,439.0
1434985,1482981,Województwo mazowieckie,Warszawa,Ochota,"Uniwersyteckie Centrum Zdrowia Kobiety i Noworodka, pl. Plac Sokratesa Starynkiewicza 1/3, 02-015 Warszawa",374.62519067463,382.0,1102.0,1484.0,7.0,8.0,4.0,6.0,5.0
1429820,1494931,Województwo warmińsko-mazurskie,Powiat piski,gm. Orzysz,"Swietlica wiejska w Wierzbinach, Wierzbiny 26A, 12-250 Orzysz",-373.7396899208775,194.0,137.0,331.0,568.0,123.0,134.0,120.0,437.0
1435497,1486973,Województwo podkarpackie,Miasto na prawach powiatu Tarnobrzeg,,"Dom im. Bogosawionej Matki Teresy z Kalkuty, ul. Zwierzyniecka 22B, 39-400 Tarnobrzeg",373.6230102780309,406.0,437.0,843.0,32.0,9.0,29.0,8.0,4.0
1413664,1477209,Województwo małopolskie,Powiat krakowski,gm. Kocmyrzow-Luborzyca,"Szkoa Podstawowa w Pietrzejowicach, Pietrzejowice 52, 32-010 Pietrzejowice",370.9894277736758,539.0,300.0,839.0,168.0,100.0,76.0,66.0,126.0
1424841,1489543,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 48, Gdansk ul. Zbigniewa Burzynskiego 10, 80-462 Gdansk 22",-370.9486810208625,399.0,761.0,1160.0,770.0,1314.0,422.0,997.0,665.0
1433265,1498602,Województwo zachodniopomorskie,Powiat koobrzeski,gm. Koobrzeg,"Szkoa Podstawowa im. Jana Pawa II, ul. Sportowa 27, 78-131 Dzwirzyno",365.0415311040689,839.0,1371.0,2210.0,474.0,607.0,322.0,546.0,213.0
1436002,1495192,Województwo warmińsko-mazurskie,Miasto na prawach powiatu Olsztyn,,"Uniwersytecki Szpital Kliniczny w Olsztynie, al. Aleja Warszawska 30, 10-082 Olsztyn",357.93365365104654,375.0,809.0,1184.0,17.0,17.0,5.0,10.0,19.0
1404733,1467753,Województwo dolnośląskie,Powiat karkonoski,gm. Mysakowice,"Swietlica w omnicy przy Gminnym Osrodku Kultury w Mysakowicach, omnica ul. Karkonoska 36, 58-508 Jelenia Gora",-356.53740602714316,120.0,104.0,224.0,477.0,470.0,248.0,361.0,338.0
1433085,1498405,Województwo zachodniopomorskie,Powiat gryficki,gm. Rewal,"Sala Wystawiennicza w Rewalu, ul. Sowackiego 1, 72-344 Rewal",355.9690175020763,793.0,1184.0,1977.0,437.0,609.0,256.0,513.0,277.0
1409151,1472421,Województwo lubelskie,Powiat lubartowski,gm. Lubartow,"Szkoa Podstawowa, ucka-Kolonia 125, 21-100 Lubartow",350.21831630031477,449.0,278.0,727.0,99.0,60.0,60.0,41.0,58.0
1432478,1497745,Województwo wielkopolskie,Miasto na prawach powiatu Kalisz,,"Szkoa Podstawowa Nr 9 im. 25 Dywizji Piechoty Ziemi Kaliskiej, ul. Zwirki i Wigury 13, 62-800 Kalisz",-348.25116108082386,417.0,500.0,917.0,765.0,902.0,397.0,707.0,563.0
1424825,1489477,Województwo pomorskie,Miasto na prawach powiatu Gdansk,,"Szkoa Podstawowa Nr 17, Gdansk ul. Stefana Czarnieckiego 2, 80-239 Gdansk 6",348.2046881009842,612.0,1172.0,1784.0,264.0,737.0,139.0,429.0,433.0
1434416,1472426,Województwo lubelskie,Powiat lubartowski,gm. Lubartow,"Dom Pomocy Spoecznej dla Dorosych Zgromadzenia Siostr Felicjanek w Jadwinowie, ucka 71, 21-100 Lubartow",341.74625721881654,384.0,218.0,602.0,42.0,5.0,35.0,3.0,9.0
1433568,1498917,Województwo zachodniopomorskie,Powiat sawienski,gm. Postomino,"Szkoa Podstawowa w Jarosawcu, ul. Batycka 65B, 76-107 Jarosawiec",341.54607481570383,897.0,1117.0,2014.0,555.0,697.0,369.0,629.0,254.0
1408081,1471291,Województwo kujawsko-pomorskie,Miasto na prawach powiatu Bydgoszcz,,"Szkoa Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz",338.0623464127318,550.0,1256.0,1806.0,212.0,411.0,100.0,319.0,204.0
1408067,1471430,Województwo kujawsko-pomorskie,Miasto na prawach powiatu Bydgoszcz,,"VIII Liceum Ogolnoksztacace, ul. Swarzewska 10, 85-731 Bydgoszcz",-336.5098138399061,24.0,25.0,49.0,361.0,671.0,179.0,489.0,364.0
1424114,1488792,Województwo pomorskie,Powiat nowodworski,m. Krynica Morska,"Szkoa Podstawowa im. Janusza Korczaka w Krynicy Morskiej, ul. Gdanska 55a, 82-120 Krynica Morska",335.6541458428412,1096.0,1875.0,2971.0,760.0,1098.0,444.0,925.0,489.0
1425330,1490096,Województwo śląskie,Powiat cieszynski,gm. Hazlach,"Szkoa Podstawowa, ul. Katowicka 34, 43-418 Pogwizdow",-334.0107538433466,321.0,438.0,759.0,655.0,568.0,319.0,341.0,563.0
