Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,R1_Total_Valid_Votes_Gmina,R2_Total_Valid_Votes_Gmina,Actual_New_Voters_Gmina,Expected_Nawrocki_R2,Actual_NAWROCKI Karol Tadeusz_R2,Diff_Nawrocki,Expected_Trzaskowski_R2,Actual_TRZASKOWSKI Rafa Kazimierz_R2,Diff_Trzaskowski
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,7495.0,7760.0,265.0,4227.59,4075,-152.59,3532.41,3685,152.59
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,2247.0,2440.0,193.0,1505.38,1568,62.62,934.62,872,-62.62
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,6431.0,6669.0,238.0,4203.09,4206,2.91,2465.91,2463,-2.91
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,2945.0,3102.0,157.0,1675.14,1722,46.86,1426.86,1380,-46.86
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,3784.0,3991.0,207.0,2347.98,2330,-17.98,1643.02,1661,17.97
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,17755.0,17523.0,0.0,7818.33,7234,-584.33,9936.67,10289,352.33
Województwo dolnośląskie,Powiat dzierzoniowski,gm. Dzierzoniow,4551.0,4716.0,165.0,2661.1,2627,-34.09,2054.9,2089,34.1
Województwo dolnośląskie,Powiat dzierzoniowski,gm. Niemcza,2219.0,2342.0,123.0,1336.21,1291,-45.21,1005.79,1051,45.21
Województwo dolnośląskie,Powiat dzierzoniowski,gm. Pieszyce,3858.0,4137.0,279.0,2181.14,2181,-0.14,1955.86,1956,0.14
Województwo dolnośląskie,Powiat dzierzoniowski,gm. agiewniki,3358.0,3697.0,339.0,2318.92,2358,39.08,1378.08,1339,-39.08
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,12477.0,13332.0,855.0,6344.5,6232,-112.51,6987.5,7100,112.51
Województwo dolnośląskie,Powiat dzierzoniowski,m. Dzierzoniow,14461.0,15334.0,873.0,7034.53,6709,-325.53,8299.47,8625,325.53
