Wojewodztwo_Name,Powiat_MnpP_Name,Gmina_Name,URL_ID,R1_Total_Valid_Votes_Station,R2_Total_Valid_Votes_Station,Expected_Nawrocki_R2,Actual_NAWROCKI Karol Tadeusz_R2,Diff_Nawrocki,Expected_Trzaskowski_R2,Actual_TRZASKOWSKI Rafa Kazimierz_R2,Diff_Trzaskowski
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404408,1059.0,0.0,554.77,0.0,-554.77,504.23,0.0,-504.23
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404409,880.0,0.0,390.88,0.0,-390.88,489.12,0.0,-489.12
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404410,922.0,0.0,433.27,0.0,-433.27,488.74,0.0,-488.74
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404411,916.0,0.0,394.3,0.0,-394.3,521.7,0.0,-521.7
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404412,813.0,0.0,352.65,0.0,-352.65,460.35,0.0,-460.35
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404413,570.0,0.0,287.57,0.0,-287.57,282.43,0.0,-282.43
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404414,913.0,0.0,383.61,0.0,-383.61,529.39,0.0,-529.39
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404415,826.0,0.0,372.33,0.0,-372.33,453.67,0.0,-453.67
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404416,801.0,0.0,342.07,0.0,-342.07,458.93,0.0,-458.93
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404417,716.0,0.0,354.3,0.0,-354.3,361.7,0.0,-361.7
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404418,735.0,0.0,299.62,0.0,-299.62,435.38,0.0,-435.38
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404419,757.0,0.0,333.34,0.0,-333.34,423.66,0.0,-423.66
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404420,705.0,0.0,283.97,0.0,-283.97,421.03,0.0,-421.03
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404421,983.0,0.0,394.73,0.0,-394.73,588.27,0.0,-588.27
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404422,790.0,0.0,306.72,0.0,-306.72,483.28,0.0,-483.28
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404423,853.0,0.0,365.36,0.0,-365.36,487.64,0.0,-487.64
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404424,660.0,0.0,307.13,0.0,-307.13,352.87,0.0,-352.87
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404425,723.0,0.0,332.81,0.0,-332.81,390.19,0.0,-390.19
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404426,990.0,0.0,368.55,0.0,-368.55,621.45,0.0,-621.45
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404427,1206.0,0.0,537.33,0.0,-537.33,668.67,0.0,-668.67
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1404428,822.0,0.0,371.32,0.0,-371.32,450.68,0.0,-450.68
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1434145,72.0,0.0,34.02,0.0,-34.02,37.98,0.0,-37.98
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1434146,20.0,0.0,10.33,0.0,-10.33,9.67,0.0,-9.67
Województwo dolnośląskie,Powiat bolesawiecki,m. Bolesawiec,1434147,23.0,0.0,7.37,0.0,-7.37,15.63,0.0,-15.63
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404429,235.0,0.0,145.57,0.0,-145.57,89.43,0.0,-89.43
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404430,638.0,0.0,307.91,0.0,-307.91,330.09,0.0,-330.09
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404431,254.0,0.0,148.53,0.0,-148.53,105.47,0.0,-105.47
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404432,474.0,0.0,339.12,0.0,-339.12,134.88,0.0,-134.88
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404433,561.0,0.0,269.27,0.0,-269.27,291.74,0.0,-291.74
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404434,244.0,0.0,142.29,0.0,-142.29,101.71,0.0,-101.71
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404435,657.0,0.0,379.62,0.0,-379.62,277.38,0.0,-277.38
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404436,423.0,0.0,240.97,0.0,-240.97,182.03,0.0,-182.03
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404437,1045.0,0.0,450.98,0.0,-450.98,594.02,0.0,-594.02
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404438,588.0,0.0,277.76,0.0,-277.76,310.24,0.0,-310.24
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404439,456.0,0.0,327.17,0.0,-327.17,128.83,0.0,-128.83
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404440,114.0,0.0,68.94,0.0,-68.94,45.06,0.0,-45.06
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404441,118.0,0.0,71.83,0.0,-71.83,46.16,0.0,-46.16
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404442,232.0,0.0,129.51,0.0,-129.51,102.49,0.0,-102.49
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404443,129.0,0.0,71.43,0.0,-71.43,57.57,0.0,-57.57
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404444,107.0,0.0,73.46,0.0,-73.46,33.54,0.0,-33.54
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404445,429.0,0.0,225.28,0.0,-225.28,203.72,0.0,-203.72
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404446,133.0,0.0,70.76,0.0,-70.76,62.24,0.0,-62.24
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404447,271.0,0.0,168.22,0.0,-168.22,102.78,0.0,-102.78
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404448,244.0,0.0,133.62,0.0,-133.62,110.38,0.0,-110.38
Województwo dolnośląskie,Powiat bolesawiecki,gm. Bolesawiec,1404449,143.0,0.0,79.34,0.0,-79.34,63.66,0.0,-63.66
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404450,919.0,0.0,518.38,0.0,-518.38,400.62,0.0,-400.62
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404451,418.0,0.0,324.29,0.0,-324.29,93.71,0.0,-93.71
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404452,176.0,0.0,111.04,0.0,-111.04,64.96,0.0,-64.96
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404453,236.0,0.0,152.62,0.0,-152.62,83.38,0.0,-83.38
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404454,213.0,0.0,133.95,0.0,-133.95,79.05,0.0,-79.05
Województwo dolnośląskie,Powiat bolesawiecki,gm. Gromadka,1404455,285.0,0.0,187.9,0.0,-187.9,97.1,0.0,-97.1
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404456,454.0,0.0,293.41,0.0,-293.41,160.59,0.0,-160.59
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404457,479.0,0.0,321.54,0.0,-321.54,157.46,0.0,-157.46
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404458,235.0,0.0,130.97,0.0,-130.97,104.03,0.0,-104.03
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404459,603.0,0.0,458.76,0.0,-458.76,144.24,0.0,-144.24
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404460,594.0,0.0,385.48,0.0,-385.48,208.52,0.0,-208.52
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404461,260.0,0.0,159.86,0.0,-159.86,100.14,0.0,-100.14
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404462,1036.0,0.0,639.86,0.0,-639.86,396.15,0.0,-396.15
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404463,898.0,0.0,542.55,0.0,-542.55,355.45,0.0,-355.45
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404464,297.0,0.0,169.47,0.0,-169.47,127.53,0.0,-127.53
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404465,822.0,0.0,565.5,0.0,-565.5,256.5,0.0,-256.5
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404466,609.0,0.0,352.29,0.0,-352.29,256.71,0.0,-256.71
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1404467,118.0,0.0,76.11,0.0,-76.11,41.89,0.0,-41.89
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1434149,10.0,0.0,5.26,0.0,-5.26,4.74,0.0,-4.74
Województwo dolnośląskie,Powiat bolesawiecki,gm. Nowogrodziec,1434150,16.0,0.0,6.84,0.0,-6.84,9.16,0.0,-9.16
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404468,498.0,0.0,315.3,0.0,-315.3,182.7,0.0,-182.7
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404469,763.0,0.0,394.41,0.0,-394.41,368.59,0.0,-368.59
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404470,220.0,0.0,117.28,0.0,-117.28,102.72,0.0,-102.72
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404471,280.0,0.0,164.15,0.0,-164.15,115.85,0.0,-115.85
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404472,410.0,0.0,223.26,0.0,-223.26,186.74,0.0,-186.74
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404473,130.0,0.0,70.58,0.0,-70.58,59.42,0.0,-59.42
Województwo dolnośląskie,Powiat bolesawiecki,gm. Osiecznica,1404474,644.0,0.0,327.37,0.0,-327.37,316.63,0.0,-316.63
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404475,555.0,0.0,332.74,0.0,-332.74,222.26,0.0,-222.26
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404476,520.0,0.0,267.77,0.0,-267.77,252.23,0.0,-252.23
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404477,529.0,0.0,334.13,0.0,-334.13,194.87,0.0,-194.87
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404478,543.0,0.0,321.78,0.0,-321.78,221.22,0.0,-221.22
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404479,498.0,0.0,280.07,0.0,-280.07,217.93,0.0,-217.93
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404480,271.0,0.0,172.07,0.0,-172.07,98.93,0.0,-98.93
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404481,174.0,0.0,121.02,0.0,-121.02,52.98,0.0,-52.98
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404482,185.0,0.0,122.57,0.0,-122.57,62.43,0.0,-62.43
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404483,131.0,0.0,95.95,0.0,-95.95,35.05,0.0,-35.05
Województwo dolnośląskie,Powiat bolesawiecki,gm. Warta Bolesawiecka,1404484,378.0,0.0,217.08,0.0,-217.08,160.92,0.0,-160.92
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404485,601.0,0.0,327.39,0.0,-327.39,273.61,0.0,-273.61
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404486,702.0,0.0,358.9,0.0,-358.9,343.1,0.0,-343.1
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404487,650.0,0.0,339.1,0.0,-339.1,310.9,0.0,-310.9
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404488,691.0,0.0,333.98,0.0,-333.98,357.02,0.0,-357.02
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404489,508.0,0.0,240.62,0.0,-240.62,267.38,0.0,-267.38
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404490,600.0,0.0,291.86,0.0,-291.86,308.14,0.0,-308.14
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404491,657.0,0.0,308.15,0.0,-308.15,348.85,0.0,-348.85
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404492,636.0,0.0,301.72,0.0,-301.72,334.28,0.0,-334.28
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404493,612.0,0.0,293.07,0.0,-293.07,318.93,0.0,-318.93
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404494,741.0,0.0,323.77,0.0,-323.77,417.23,0.0,-417.23
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404495,564.0,0.0,258.83,0.0,-258.83,305.17,0.0,-305.17
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404496,502.0,0.0,263.1,0.0,-263.1,238.9,0.0,-238.9
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404497,475.0,0.0,247.5,0.0,-247.5,227.5,0.0,-227.5
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404498,702.0,0.0,274.07,0.0,-274.07,427.93,0.0,-427.93
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404499,627.0,0.0,309.11,0.0,-309.11,317.89,0.0,-317.89
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404500,519.0,0.0,254.95,0.0,-254.95,264.05,0.0,-264.05
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404501,469.0,0.0,247.4,0.0,-247.4,221.6,0.0,-221.6
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404502,551.0,0.0,253.14,0.0,-253.14,297.86,0.0,-297.86
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404503,542.0,0.0,262.46,0.0,-262.46,279.54,0.0,-279.54
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404504,685.0,0.0,289.44,0.0,-289.44,395.56,0.0,-395.56
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1404505,433.0,0.0,218.42,0.0,-218.42,214.58,0.0,-214.58
Województwo dolnośląskie,Powiat dzierzoniowski,m. Bielawa,1434151,10.0,0.0,5.5,0.0,-5.5,4.5,0.0,-4.5
Województwo dolnośląskie,Powiat dzierzoniowski,m. Dzierzoniow,1404506,817.0,0.0,301.52,0.0,-301.52,515.48,0.0,-515.48
Województwo dolnośląskie,Powiat dzierzoniowski,m. Dzierzoniow,1404507,1006.0,0.0,408.85,0.0,-408.85,597.15,0.0,-597.15
Województwo dolnośląskie,Powiat dzierzoniowski,m. Dzierzoniow,1404508,623.0,0.0,333.95,0.0,-333.95,289.05,0.0,-289.05
